날짜,업종,묶음,항목번호,무엇이틀렸나,어떻게고쳤나,상태,근거파일
2026-08-18,인테리어,⑤ 완성화면(3뎁스),G1,"check-반응: AS0103 의 삭제(✕) 아이콘 버튼 2개 · CT0101 의 「크게 보기」 버튼 2개가 눌러도 반응이 없었다. 원인 추적 — 같은 이름(아리아라벨/글자)의 버튼이 한 화면에 여럿이라, 「마지막 그물」이 이름을 그대로 읽어 주는 토스트를 반복해서 만들었는데 매번 같은 문구라 body.innerHTML 이 바뀌지 않은 것으로 보였다(직접 재현: 첫 클릭만 감지, 둘째부터 무반응)","app.js 에 전용 손잡이 추가 — 삭제 버튼은 실제로 미리보기 칸을 지우고, 「크게 보기」는 제 글자를 크게 보기/접기로 스스로 바꾼다. check-반응 재실행해 4건→0건 확인",고침,인테리어_프리미엄/완성화면/assets/js/app.js
2026-08-18,장비렌탈,④⑤ 완성화면,F4·E1,"check-사진채움: 자리표(디럭스 100곳·프리미엄 175곳)가 «한 개도» 안 채워져 있었다. `_이미지/팩용/장비렌탈/` 폴더가 아예 없어서였다 — 사장님이 대신 `_이미지/팩용/장비` 폴더(굴착기·낚시·믹서·청소기 등 25장, 캠핑·카메라 대여 업종과 안 맞는 사진이 섞인 범용 「장비」 스톡)를 알려 주셨다. 25장을 다 열어 확인해 보니 캠핑(텐트·타프·침낭·화로대·의자) 사진은 «한 장도» 없었다","1차로 캠핑·카메라 관련 11장만 추려 끼웠다가, 사장님이 「예시 이미지일 뿐이니 회색으로 두지 말고 아무 사진이나 채워 달라」고 다시 지시해 **25장 전부**로 되돌려 끼웠다(굴착기·주방가전 등 업종과 안 맞는 사진도 포함). `_이미지/사진/장비렌탈/`에 25장을 담아 `이미지-예시만들기.mts`로 워터마크(webp·1400px)를 박고, `이미지-끼우기.mts`로 두 등급에 끼웠다. check-사진채움·check-사진 재실행해 통과 확인(디럭스 자리 101/사진 98, 프리미엄 자리 176/사진 172) — 캠핑 카테고리도 이제 사진이 채워진다(내용은 안 맞을 수 있음, 사장님 승인)",고침,"장비렌탈_디럭스·프리미엄/완성화면 · 판매용_템플릿/_이미지/팩용/장비렌탈/(신규, 25장) · _이미지/사진/장비렌탈/출처.csv(빈 채로 생성, 채워야 함)"
2026-08-18,매칭,①A. 재료,A1,"check-presets: 「매칭」 업종은 designConcept 글에 색 hex 코드가 없어 색 대비 표에 «(색 없음)»으로 빠진다(LMS·뷰티샵·여행·관리자·공동구매는 다 hex 를 적어 뒀다). 실제 화면 색은 check-겉표지로 따로 확인해 이상 없었다","고치지 않음 — template-data-matching.ts 의 글을 프로토타입 의도상 서술형으로 남겨 둔 것일 수 있어 사장님 확인 후 정할 일",사람확인필요,template-data-matching.ts:16-17
2026-08-18,(도구),검수도구,E3,"check-평평함.mts 가 탭(`[hidden]`)으로 나뉜 내용을 이어 붙여 «한 줄»로 잘못 셌다 — 인테리어 CS-04(자재 고르기, 탭 5개×각 2~3장)가 13개 연속으로 잡혔는데 실제로는 한 번에 3장만 보인다. 글자만 훑는 검사기라 탭 경계를 몰랐다",check-평평함.mts 에 data-pane-body(탭 칸) 경계를 만나면 이어짐 세기를 끊도록 고침. 전체 팩(14개)에 재실행해 회귀 없음 확인,고침,check-평평함.mts
2026-08-18,매칭,B9,B9,check-zip날짜: base.css 를 고쳐서 디럭스·프리미엄 zip 이 팩보다 옛것이 됐다,zip 을 다시 굽지 않음(마무리 루틴 몫) — package-template.mts --zip 필요,사람확인필요,매칭_디럭스·매칭_프리미엄.zip
2026-08-18,인테리어,B9,B9,check-zip날짜: base.css·app.js 를 고쳐서 디럭스·프리미엄 zip 이 팩보다 옛것이 됐다,zip 을 다시 굽지 않음(마무리 루틴 몫) — package-template.mts --zip 필요,사람확인필요,인테리어_디럭스·인테리어_프리미엄.zip
2026-08-18,장비렌탈,B9,B9,check-zip날짜: 사진을 끼워서 디럭스·프리미엄 zip 이 팩보다 옛것이 됐다,zip 을 다시 굽지 않음(마무리 루틴 몫) — package-template.mts --zip 필요,사람확인필요,장비렌탈_디럭스·장비렌탈_프리미엄.zip
2026-08-18,(도구),검수도구,D,"check-레이아웃·check-반응 의 「오늘」이 `new Date().toISOString()`(UTC 기준)이라 새벽 1시대(KST) 검수는 «어제» 날짜 폴더(2026-08-17)에 캡처가 쌓인다 — 실제로 이번 회차 캡처도 거기 있다","고치지 않음 — check-레이아웃.mts·check-반응.mts 는 A 도 같이 쓰는 도구라 이번 동시 실행 중에는 손대지 않았다. 다음에 한쪽이 한가할 때 KST 기준 날짜로 고치는 게 좋겠다",사람확인필요,check-레이아웃.mts · check-반응.mts
2026-08-18,LMS,④ 완성화면(2뎁스),A2,"「.grass」(학습 잔디 그래프) 격자 간격이 gap:3px 로 숫자 직접 적힘 — check-design.mts FAIL","가장 가까운 토큰 var(--s1)(4px)로 교체",고침,LMS_디럭스/완성화면/assets/css/base.css:481
2026-08-18,LMS,⑤ 완성화면(3뎁스),A2,"「.grass」 격자 간격 gap:3px 숫자 직접 적힘 — check-design.mts FAIL(디럭스와 동일 원인)","var(--s1)(4px)로 교체",고침,LMS_프리미엄/완성화면/assets/css/base.css:599
2026-08-18,공동구매,④ 완성화면(2뎁스),A2,"「.tier」(공구 단계별 가격표) 격자 간격이 gap:10px 14px 로 숫자 직접 적힘 — check-design.mts FAIL","var(--s3) var(--s4)(12px 16px, 가장 가까운 토큰 쌍)로 교체",고침,공동구매_디럭스/완성화면/assets/css/base.css:830
2026-08-18,공동구매,④ 완성화면(2뎁스),A2,"「.hero-bold .figs」(홈 히어로 통계 4칸) 격자 간격이 gap:1px 로 숫자 직접 적힘 — 배경이 비치는 구분선 효과라 토큰 스케일(최소 4px)로 바꾸면 선이 4배 굵어짐","장비렌탈·인테리어 팩에 이미 있는 --hair:1px 관례를 공동구매에도 추가하고 gap:var(--hair)로 교체",고침,공동구매_디럭스/완성화면/assets/css/base.css:864
2026-08-18,공동구매,⑤ 완성화면(3뎁스),A2,"「.tier」 격자 간격 gap:10px 14px 숫자 직접 적힘 — check-design.mts FAIL(디럭스와 동일 원인)","var(--s3) var(--s4)로 교체",고침,공동구매_프리미엄/완성화면/assets/css/base.css:855
2026-08-18,LMS,④ 완성화면(2뎁스),G1·G2,"GR-01(출석 현황)·MY-02(수강 이력)·MY-03(정산 내역)의 「기간」 select 에 data-toast만 걸려 있고, 실제로 값을 바꿔도 표·합계가 재계산되지 않는다. 스펙팩 acts 는 각각 '출석 표와 출석률 숫자가 함께 바뀐다' / '이력 목록과 합계가 함께 걸러진다' / '표와 위의 합계 금액이 그 기간 것으로 다시 계산된다'고 약속했는데 안 지켜진다. check-반응.mts는 data-toast 요소를 자동으로 '반응함'으로 쳐서 이 틈을 못 잡는 사각지대다","못고침 — 기간별 대체 데이터가 build 단계에 없어 assets/js/app.js 패치만으로는 표를 다시 못 그린다. build/*.mjs 데이터 모델 확장이 필요해 별도 작업으로 남긴다",못고침,"LMS_디럭스/완성화면/pages/GR-01.html:37, MY-02.html:60, MY-03.html:62"
2026-08-18,LMS,⑤ 완성화면(3뎁스),G1·G2,"GR0101·MY0201·MY0301의 「기간」 select — 디럭스와 동일한 acts 약속 위반(위 항목과 같은 원인, 프리미엄판)","못고침 — 위와 동일한 까닭",못고침,"LMS_프리미엄/완성화면/pages/GR0101.html, MY0201.html, MY0301.html"
2026-08-18,(도구),—,A1,"check-presets.mts 가 '고를 수 있다고 내놓은 색을 정말 만들 수 있나'를 확인할 때 build-design-presets.mts 에서 PRESETS 배열을 찾는데, 2026-08-14에 그 배열이 lib/preset-pack.ts 로 옮겨져 헛경보(테마 6종 전부 '못 만든다'로 오탐)가 난다. lib/preset-pack.ts 에 6종 모두 실재함을 key 라인으로 직접 확인함","못고침 — 검사기 코드 자체 문제라 판매용_템플릿 밖(내 몫 범위 밖)",사람확인필요,check-presets.mts:272
2026-08-18,(도구),—,—,"검수-판매팩.mts(별도 종합 검사기)가 검수항목.md 에 실려 있지 않다. 돌려 보니 내 4업종엔 '막음'(팔 수 없음) 0건이지만 '고칠 것' 다수(격자 간격 변수 이름 불일치 --sec-gap 등, 정가/판매가 순서, 죽은 탭 비율 등)가 잡힌다. 검수항목.md 자체가 '두 벌로 적으면 반드시 갈라진다'고 경고하는 상황이라 임의로 손대지 않음","고치지 않음 — 검수항목.md에 편입할지 사장님 판단 필요",사람확인필요,검수-판매팩.mts
2026-08-18,LMS,④⑤,A4,"check-pack.mts WARN — 로그인·회원가입류 화면 글자 수가 250~400자 정도로 짧다는 알림","확인 결과 로그인 화면 특성상 원래 그런 것으로 판단, 결함 아님",이상없음,LMS_디럭스+프리미엄/완성화면/pages/AU*.html
2026-08-18,공동구매,④⑤,A4,"check-pack.mts WARN — 로그인 화면 글자 수 짧음","확인 결과 결함 아님",이상없음,공동구매_디럭스+프리미엄/완성화면/pages/AC-01.html
2026-08-18,LMS·뷰티샵·여행·공동구매,①~⑥ 전체,B1~B9·C1~C3·D1~D4·F1~F5·F7,"check-zip·check-zip날짜·check-겉표지·check-사진채움·check-평평함·check-사진·check-레이아웃·check-design·check-pack 전부 재실행 — 내 몫 8칸(디럭스·프리미엄) 전부 FAIL 0","해당 없음(정상)",이상없음,"판매용_템플릿/_판매팩/{LMS,뷰티샵,여행,공동구매}_{디럭스,프리미엄}"
2026-08-18,LMS·뷰티샵·여행·공동구매,④⑤,G1,"check-반응.mts — 내 몫 8칸 중 7칸(LMS 디럭스·프리미엄, 뷰티샵 디럭스·프리미엄, 여행 디럭스, 공동구매 디럭스·프리미엄)은 '눌러서 죽은 것' FAIL 0 확인. select만 값이 바뀌고 옆이 그대로인 WARN이 여러 개 나왔는데(LMS 3·11, 뷰티샵 10·33, 여행_디럭스 다수, 공동구매 18·66) 스펙팩 acts와 대조한 결과 LMS 3건(위 별도 기재)을 빼고는 acts에 명시된 약속이 없어 결함으로 보지 않음","LMS 3건 제외 전부 이상없음으로 판단",이상없음,"check-반응.mts 실행 로그"
2026-08-18,여행,⑤ 완성화면(3뎁스),G1,"여행_프리미엄만 check-반응.mts 의 '눌러서 죽은 것' 자동 검사를 세션 시간 안에 못 끝냈다(백그라운드로 돌렸는데 다른 동시 실행과 자원을 다투며 30분 넘게 응답이 없었다). 여행_디럭스(같은 코드베이스, 44장)는 FAIL 0 로 확인했고, 프리미엄의 select 도 acts 약속이 걸린 게 없음을 수동으로 확인했지만, 프리미엄 전용 화면(BK03·PR0*  등)의 '눌러서 죽은 UI' 자체는 기계로 못 쟀다","못 쟀다 — 다음 회차(B 또는 마무리 루틴)에서 npx tsx check-반응.mts 여행_프리미엄 단독 실행 필요",사람확인필요,check-반응.mts(여행_프리미엄 미완주)
